id,gestion,estudiante_id,unidad_educativa_id,curso_paralelo_origen,estado
856,2024,856,13,B,A
857,2024,857,7,A,A
858,2024,858,6,A,A
859,2024,859,6,A,A
860,2024,860,20,A,A
861,2024,861,21,A,A
862,2024,862,25,B,A
863,2024,863,5,A,A
864,2024,864,7,A,A
865,2024,865,19,A,A
866,2024,866,6,C,A
867,2024,867,19,B,A
868,2024,868,11,A,A
869,2024,869,13,A,A
870,2024,870,13,A,A
871,2024,871,6,B,A
872,2024,872,6,B,A
921,2024,921,13,B,A
922,2024,922,10,A,A
923,2024,923,10,A,A
924,2024,924,13,B,A
925,2024,925,13,A,A
926,2024,926,13,B,A
927,2024,927,13,B,A
928,2024,928,13,B,A
929,2024,929,13,B,A
930,2024,930,13,A,A
931,2024,931,13,B,A
932,2024,932,13,B,A
933,2024,933,13,B,A
934,2024,934,13,B,A
935,2024,935,13,A,A
936,2024,936,13,B,A
937,2024,937,13,C,A
938,2024,938,13,B,A
939,2024,939,13,A,A
940,2024,940,13,B,A
941,2024,941,13,B,A
942,2024,942,13,B,A
943,2024,943,13,B,A
944,2024,944,13,B,A
945,2024,945,6,A,A
946,2024,946,25,A,A
947,2024,947,6,C,A
948,2024,948,6,B,A
949,2024,949,6,A,A
950,2024,950,6,C,A
951,2024,951,19,A,A
952,2024,952,25,B,A
953,2024,953,6,B,A
898,2024,898,21,A,A
899,2024,899,29,A,A
900,2024,900,19,B,A
901,2024,901,6,C,A
902,2024,902,13,A,A
903,2024,903,6,B,A
904,2024,904,13,B,A
905,2024,905,25,B,A
906,2024,906,25,B,A
907,2024,907,25,B,A
908,2024,908,25,B,A
909,2024,909,13,B,A
910,2024,910,7,A,A
911,2024,911,7,A,A
912,2024,912,7,A,A
913,2024,913,1,A,A
914,2024,914,1,A,A
915,2024,915,20,A,A
916,2024,916,20,A,A
917,2024,917,20,A,A
918,2024,918,17,A,A
919,2024,919,17,A,A
920,2024,920,17,A,A
954,2024,954,6,C,A
955,2024,955,6,B,A
956,2024,956,6,B,A
957,2024,957,6,C,A
958,2024,958,6,C,A
959,2024,959,6,B,A
960,2024,960,6,C,A
961,2024,961,6,B,A
962,2024,962,6,B,A
963,2024,963,6,C,A
964,2024,964,25,B,A
965,2024,965,6,C,A
967,2024,967,20,A,A
968,2024,968,20,A,A
969,2024,969,20,A,A
970,2024,970,20,A,A
971,2024,971,20,A,A
972,2024,972,20,B,A
973,2024,973,20,B,A
974,2024,974,20,B,A
975,2024,975,20,A,A
976,2024,976,19,C,A
977,2024,977,19,B,A
978,2024,978,19,B,A
979,2024,979,19,C,A
980,2024,980,19,B,A
981,2024,981,19,B,A
982,2024,982,19,C,A
983,2024,983,19,B,A
984,2024,984,19,C,A
985,2024,985,19,C,A
986,2024,986,19,C,A
987,2024,987,19,C,A
988,2024,988,19,C,A
989,2024,989,21,A,A
990,2024,990,21,B,A
991,2024,991,29,A,A
992,2024,992,1,A,A
993,2024,993,1,A,A
994,2024,994,1,A,A
995,2024,995,1,B,A
996,2024,996,21,A,A
997,2024,997,21,A,A
998,2024,998,21,A,A
999,2024,999,21,A,A
1000,2024,1000,1,B,A
1001,2024,1001,29,A,A
1002,2024,1002,1,B,A
1003,2024,1003,1,B,A
1004,2024,1004,6,C,A
1005,2024,1005,21,A,A
1006,2024,1006,1,A,A
1007,2024,1007,1,B,A
1008,2024,1008,21,A,A
1009,2024,1009,21,A,A
1010,2024,1010,21,A,A
1011,2024,1011,21,B,A
1012,2024,1012,21,A,A
1013,2024,1013,19,A,A
1014,2024,1014,25,A,A
1015,2024,1015,6,C,A
1016,2024,1016,6,C,A
1017,2024,1017,6,B,A
1018,2024,1018,6,A,A
1019,2024,1019,6,A,A
1020,2024,1020,6,B,A
1021,2024,1021,6,A,A
1022,2024,1022,6,A,A
1023,2024,1023,6,A,A
1024,2024,1024,6,A,A
1025,2024,1025,6,A,A
1026,2024,1026,6,A,A
1027,2024,1027,6,C,A
1028,2024,1028,6,B,A
1029,2024,1029,6,C,A
1030,2024,1030,6,B,A
1031,2024,1031,6,C,A
1032,2024,1032,25,A,A
1033,2024,1033,25,B,A
1034,2024,1034,25,A,A
1035,2024,1035,25,A,A
1036,2024,1036,25,B,A
1037,2024,1037,25,B,A
1038,2024,1038,13,A,A
1039,2024,1039,10,A,A
1040,2024,1040,10,A,A
1041,2024,1041,10,A,A
1042,2024,1042,10,A,A
1043,2024,1043,10,A,A
1044,2024,1044,10,A,A
1045,2024,1045,10,A,A
1046,2024,1046,20,B,A
1047,2024,1047,20,B,A
1048,2024,1048,21,A,A
1049,2024,1049,13,B,A
1050,2024,1050,13,B,A
1051,2024,1051,13,C,A
1052,2024,1052,13,B,A
1053,2024,1053,13,C,A
1054,2024,1054,13,C,A
1055,2024,1055,21,A,A
1056,2024,1056,21,B,A
1057,2024,1057,21,B,A
1058,2024,1058,21,B,A
1059,2024,1059,21,A,A
1060,2024,1060,21,A,A
1061,2024,1061,1,B,A
1062,2024,1062,13,A,A
1063,2024,1063,13,B,A
1064,2024,1064,13,A,A
1065,2024,1065,13,B,A
1066,2024,1066,13,A,A
1067,2024,1067,13,C,A
1068,2024,1068,13,A,A
1069,2024,1069,13,C,A
1070,2024,1070,13,A,A
1071,2024,1071,13,C,A
1072,2024,1072,13,A,A
1073,2024,1073,21,B,A
1074,2024,1074,13,C,A
1075,2024,1075,13,B,A
1076,2024,1076,13,C,A
1077,2024,1077,13,C,A
1078,2024,1078,13,A,A
1079,2024,1079,13,B,A
1080,2024,1080,13,A,A
1081,2024,1081,13,A,A
1082,2024,1082,13,B,A
1083,2024,1083,13,C,A
1084,2024,1084,13,C,A
1085,2024,1085,13,C,A
1086,2024,1086,13,C,A
1087,2024,1087,19,A,A
1088,2024,1088,19,B,A
1089,2024,1089,1,A,A
1090,2024,1090,1,B,A
1091,2024,1091,1,B,A
1092,2024,1092,1,B,A
1093,2024,1093,1,A,A
1094,2024,1094,1,A,A
1095,2024,1095,1,B,A
1096,2024,1096,1,A,A
1097,2024,1097,1,B,A
1098,2024,1098,1,A,A
1099,2024,1099,19,A,A
1100,2024,1100,19,A,A
1101,2024,1101,19,B,A
1102,2024,1102,19,A,A
1103,2024,1103,19,B,A
1104,2024,1104,19,A,A
1105,2024,1105,19,B,A
1106,2024,1106,21,B,A
1107,2024,1107,13,C,A
1108,2024,1108,1,B,A
1109,2024,1109,1,A,A
1110,2024,1110,1,A,A
1111,2024,1111,1,A,A
1112,2024,1112,29,A,A
1113,2024,1113,6,A,A
1114,2024,1114,6,C,A
1115,2024,1115,13,A,A
1116,2024,1116,13,A,A
1117,2024,1117,13,B,A
1118,2024,1118,7,A,A
1119,2024,1119,7,A,A
1120,2024,1120,19,A,A
1121,2024,1121,19,A,A
1122,2024,1122,19,A,A
1123,2024,1123,19,B,A
1124,2024,1124,19,B,A
1125,2024,1125,25,A,A
1126,2024,1126,11,A,A
1127,2024,1127,29,A,A
1128,2024,1128,21,B,A
1129,2024,1129,21,B,A
1130,2024,1130,17,A,A
1131,2024,1131,17,A,A
1132,2024,1132,7,A,A
1133,2024,1133,6,C,A
1134,2024,1134,6,B,A
1135,2024,1135,6,B,A
1136,2024,1136,6,A,A
1137,2024,1137,29,A,A
1138,2024,1138,7,A,A
1140,2024,1140,7,A,A
1141,2024,1141,13,A,A
1142,2024,1142,6,B,A
1143,2024,1143,21,B,A
1144,2024,1144,13,B,A
1145,2024,1145,13,B,A
1146,2024,1146,7,A,A
1147,2024,1147,21,B,A
